,Year_Rank,Title,Worldwide_Gross,Domestic,Percent_Domestic,Foreign,Percent_Foreign,Year,Domestic Distributor,Domestic Opening,Budget,Earliest Release Date,MPAA,Running Time,Genres,"
                        IMDbPro
                    "
71,72,Five Feet Apart,"$91,522,094","$45,729,221",50%,"$45,792,873",50%,2019,"LionsgateSee full company information

","$13,190,286","$7,000,000","March 14, 2019
            (EMEA, LATAM)",PG-13,1 hr 56 min,"Drama
    
        Romance","See more details at IMDbPro

"
72,73,Rambo: Last Blood,"$91,490,353","$44,819,352",49%,"$46,671,001",51%,2019,"LionsgateSee full company information

","$18,872,919","$50,000,000","September 18, 2019
            (APAC)",R,1 hr 29 min,"Action
    
        Thriller","See more details at IMDbPro

"
73,74,Jojo Rabbit,"$90,335,025","$33,370,906",36.9%,"$56,964,119",63.1%,2019,"Fox Searchlight PicturesSee full company information

","$349,555","$14,000,000","October 18, 2019
            (Domestic)",PG-13,1 hr 48 min,"Comedy
    
        Drama
    
        War","See more details at IMDbPro

"
74,75,One Piece: Stampede,"$81,562,741","$1,298,528",1.6%,"$80,264,213",98.4%,2019,"FUNimation EntertainmentSee full company information

","$357,740",,"August 9, 2019
            (Japan)",,1 hr 41 min,"Action
    
        Adventure
    
        Animation
    
        Family
    
        Fantasy","See more details at IMDbPro

"
75,76,A Dog's Way Home,"$80,708,134","$42,004,346",52%,"$38,703,788",48%,2019,"Sony Pictures Entertainment (SPE)See full company information

","$11,251,263","$18,000,000","January 9, 2019
            (Trinidad & Tobago)",PG,1 hr 36 min,"Adventure
    
        Drama
    
        Family","See more details at IMDbPro

"
76,77,Cold Pursuit,"$76,419,755","$32,138,862",42.1%,"$44,280,893",57.9%,2019,"LionsgateSee full company information

","$11,030,233","$60,000,000","February 7, 2019
            (EMEA, APAC)",R,1 hr 59 min,"Action
    
        Crime
    
        Drama
    
        Thriller","See more details at IMDbPro

"
77,78,A Dog's Journey,"$75,617,580","$22,782,371",30.1%,"$52,835,209",69.9%,2019,"Universal PicturesSee full company information

","$8,030,085","$16,000,000","May 3, 2019
            (United Kingdom)",PG,1 hr 49 min,"Adventure
    
        Comedy
    
        Drama
    
        Family
    
        Fantasy","See more details at IMDbPro

"
78,79,A Madea Family Funeral,"$74,747,725","$73,257,045",98%,"$1,490,680",2%,2019,"LionsgateSee full company information

","$27,062,332","$20,000,000","February 28, 2019
            (EMEA, LATAM)",PG-13,1 hr 49 min,Comedy,"See more details at IMDbPro

"
79,80,Cats,"$73,736,144","$27,166,770",36.8%,"$46,569,374",63.2%,2019,"Universal PicturesSee full company information

","$6,619,870","$95,000,000","December 20, 2019
            (Domestic, EMEA)",PG,1 hr 50 min,"Comedy
    
        Drama
    
        Family
    
        Fantasy
    
        Musical","See more details at IMDbPro

"
80,81,Charlie's Angels,"$73,279,888","$17,803,077",24.3%,"$55,476,811",75.7%,2019,"Sony Pictures Entertainment (SPE)See full company information

","$8,351,109","$48,000,000","November 13, 2019
            (LATAM, APAC)",PG-13,1 hr 58 min,"Action
    
        Adventure
    
        Comedy","See more details at IMDbPro

"
81,82,Doctor Sleep,"$72,381,712","$31,581,712",43.6%,"$40,800,000",56.4%,2019,"Warner Bros.See full company information

","$14,114,124","$45,000,000","October 8, 2019
            (Lithuania)",R,2 hr 32 min,"Drama
    
        Fantasy
    
        Horror
    
        Thriller","See more details at IMDbPro

"
82,83,What Men Want,"$72,216,294","$54,611,903",75.6%,"$17,604,391",24.4%,2019,"Paramount PicturesSee full company information

","$18,232,087","$20,000,000","February 7, 2019
            (United Arab Emirates)",R,1 hr 57 min,"Comedy
    
        Fantasy
    
        Romance","See more details at IMDbPro

"
83,84,After,"$69,733,482","$12,138,565",17.4%,"$57,594,917",82.6%,2019,"Aviron PicturesSee full company information

","$6,002,349","$14,000,000","March 12, 2019
            (Lithuania)",PG-13,1 hr 45 min,"Drama
    
        Romance","See more details at IMDbPro

"
84,85,Exit,"$69,501,772","$470,699",0.7%,"$69,031,073",99.3%,2019,"CJ EntertainmentSee full company information

","$32,441",,"July 31, 2019
            (South Korea)",,1 hr 43 min,"Action
    
        Comedy","See more details at IMDbPro

"
85,86,Playing with Fire,"$68,631,669","$44,451,847",64.8%,"$24,179,822",35.2%,2019,"Paramount PicturesSee full company information

","$12,723,781","$29,900,000","November 7, 2019
            (LATAM, EMEA)",PG,1 hr 36 min,"Comedy
    
        Family","See more details at IMDbPro

"
86,87,A Beautiful Day in the Neighborhood,"$67,760,877","$61,704,055",91.1%,"$6,056,822",8.9%,2019,"Sony Pictures Entertainment (SPE)See full company information

","$13,251,238","$25,000,000","November 22, 2019
            (Domestic)",PG,1 hr 49 min,"Biography
    
        Drama","See more details at IMDbPro

"
87,88,War,"$67,179,155","$4,654,000",6.9%,"$62,525,155",93.1%,2019,"Yash Raj FilmsSee full company information

","$1,607,627","$21,000,000","October 2, 2019
            (4 markets)",,2 hr 34 min,"Action
    
        Thriller","See more details at IMDbPro

"
88,89,Happy Death Day 2U,"$64,600,152","$28,148,130",43.6%,"$36,452,022",56.4%,2019,"Universal PicturesSee full company information

","$9,497,665","$9,000,000","February 13, 2019
            (6 markets)",PG-13,1 hr 40 min,"Comedy
    
        Horror
    
        Mystery
    
        Sci-Fi
    
        Thriller","See more details at IMDbPro

"
89,90,White Snake,"$61,631,776","$34,730",<0.1%,"$61,597,046",99.9%,2019,"GKIDSSee full company information

","$2,791",,"January 11, 2019
            (China)",,1 hr 39 min,"Action
    
        Adventure
    
        Animation
    
        Fantasy
    
        Romance","See more details at IMDbPro

"
90,91,Ashfall,"$61,255,955","$372,562",0.6%,"$60,883,393",99.4%,2019,"Capelight PicturesSee full company information

","$36,201",,"December 19, 2019
            (Domestic, APAC)",,2 hr 10 min,"Action
    
        Drama
    
        Thriller","See more details at IMDbPro

"
91,92,Ma,"$61,105,672","$45,896,028",75.1%,"$15,209,644",24.9%,2019,"Universal PicturesSee full company information

","$18,099,805","$5,000,000","May 29, 2019
            (Egypt)",R,1 hr 39 min,"Horror
    
        Mystery
    
        Thriller","See more details at IMDbPro

"
92,93,Bombshell,"$59,636,523","$31,762,808",53.3%,"$27,873,715",46.7%,2019,"LionsgateSee full company information

","$319,157","$32,000,000","December 13, 2019
            (Domestic)",R,1 hr 49 min,"Biography
    
        Drama","See more details at IMDbPro

"
93,94,Ready or Not,"$57,615,777","$28,714,231",49.8%,"$28,901,546",50.2%,2019,"Fox Searchlight PicturesSee full company information

","$8,015,590","$6,000,000","August 21, 2019
            (Domestic)",R,1 hr 35 min,"Comedy
    
        Horror
    
        Mystery
    
        Thriller","See more details at IMDbPro

"
94,95,Long Shot,"$53,873,809","$30,316,271",56.3%,"$23,557,538",43.7%,2019,"LionsgateSee full company information

","$9,740,064","$40,000,000","May 1, 2019
            (APAC, EMEA)",R,2 hr 5 min,"Comedy
    
        Romance","See more details at IMDbPro

"
95,96,Breakthrough,"$50,444,358","$40,713,082",80.7%,"$9,731,276",19.3%,2019,"Twentieth Century FoxSee full company information

","$11,282,333","$14,000,000","April 11, 2019
            (LATAM)",PG,1 hr 56 min,"Biography
    
        Drama","See more details at IMDbPro

"
96,97,Just Mercy,"$50,401,502","$36,001,502",71.4%,"$14,400,000",28.6%,2019,"Warner Bros.See full company information

","$107,858","$25,000,000","December 25, 2019
            (Domestic)",PG-13,2 hr 17 min,"Biography
    
        Crime
    
        Drama","See more details at IMDbPro

"
97,98,Uncut Gems,"$50,023,780","$50,023,780",100%,-,-,2019,"A24See full company information

","$537,242","$19,000,000","December 13, 2019
            (Domestic)",R,2 hr 15 min,"Crime
    
        Drama
    
        Thriller","See more details at IMDbPro

"
98,99,21 Bridges,"$49,939,757","$28,539,757",57.1%,"$21,400,000",42.9%,2019,"STX EntertainmentSee full company information

","$9,261,268","$33,000,000","November 21, 2019
            (EMEA, APAC)",R,1 hr 39 min,"Action
    
        Crime
    
        Drama
    
        Thriller","See more details at IMDbPro

"
99,100,The Grudge,"$49,511,319","$21,221,803",42.9%,"$28,289,516",57.1%,2019,"Sony Pictures Entertainment (SPE)See full company information

","$11,404,113","$10,000,000","December 31, 2019
            (Indonesia)",R,1 hr 34 min,"Horror
    
        Mystery","See more details at IMDbPro

"
100,101,Little,"$48,987,096","$40,860,481",83.4%,"$8,126,615",16.6%,2019,"Universal PicturesSee full company information

","$15,405,455","$20,000,000","April 11, 2019
            (APAC, EMEA)",PG-13,1 hr 49 min,"Comedy
    
        Fantasy
    
        Romance","See more details at IMDbPro

"
101,102,Isn't It Romantic,"$48,791,187","$48,791,187",100%,-,-,2019,"Warner Bros.See full company information

","$14,247,758","$31,000,000","February 13, 2019
            (Domestic)",PG-13,1 hr 29 min,"Comedy
    
        Fantasy
    
        Romance","See more details at IMDbPro

"
102,103,Countdown,"$48,021,766","$25,621,766",53.4%,"$22,400,000",46.6%,2019,"STX EntertainmentSee full company information

","$8,865,082","$6,500,000","October 24, 2019
            (EMEA)",PG-13,1 hr 30 min,"Horror
    
        Thriller","See more details at IMDbPro

"
103,104,Midsommar,"$47,863,365","$27,426,361",57.3%,"$20,437,004",42.7%,2019,"A24See full company information

","$6,560,030","$9,000,000","July 3, 2019
            (Domestic)",R,2 hr 28 min,"Drama
    
        Horror
    
        Mystery
    
        Thriller","See more details at IMDbPro

"
104,105,Queen & Slim,"$47,659,440","$43,808,310",91.9%,"$3,851,130",8.1%,2019,"Universal PicturesSee full company information

","$11,890,490","$18,000,000","November 27, 2019
            (Domestic)",R,2 hr 12 min,"Crime
    
        Drama
    
        Romance","See more details at IMDbPro

"
105,106,47 Meters Down: Uncaged,"$46,783,103","$22,260,900",47.6%,"$24,522,203",52.4%,2019,"Entertainment Studios Motion PicturesSee full company information

","$8,427,265","$12,000,000","August 14, 2019
            (Jamaica)",PG-13,1 hr 30 min,"Adventure
    
        Drama
    
        Horror
    
        Thriller","See more details at IMDbPro

"
106,107,Chasing the Dragon II: Wild Wild Bunch,"$45,733,356","$196,634",0.4%,"$45,536,722",99.6%,2019,"Well Go USA EntertainmentSee full company information

","$60,971",,"June 6, 2019
            (China, APAC)",Not Rated,1 hr 41 min,"Action
    
        Biography
    
        Crime
    
        Thriller","See more details at IMDbPro

"
107,108,Child's Play,"$44,902,237","$29,208,403",65%,"$15,693,834",35%,2019,"United Artists ReleasingSee full company information

","$14,094,594","$10,000,000","June 19, 2019
            (EMEA)",R,1 hr 30 min,"Horror
    
        Sci-Fi","See more details at IMDbPro

"
108,109,Hellboy,"$44,664,690","$21,903,748",49%,"$22,760,942",51%,2019,"LionsgateSee full company information

","$12,045,147","$50,000,000","March 12, 2019
            (Lithuania)",R,2 hr,"Action
    
        Adventure
    
        Fantasy
    
        Horror
    
        Sci-Fi","See more details at IMDbPro

"
109,110,Richard Jewell,"$43,745,542","$22,345,542",51.1%,"$21,400,000",48.9%,2019,"Warner Bros.See full company information

","$4,705,265","$45,000,000","December 13, 2019
            (Domestic)",R,2 hr 11 min,"Biography
    
        Crime
    
        Drama","See more details at IMDbPro

"
110,111,Judy,"$43,623,562","$24,313,888",55.7%,"$19,309,674",44.3%,2019,"Roadside AttractionsSee full company information

","$2,916,548",,"September 27, 2019
            (Domestic)",PG-13,1 hr 58 min,"Biography
    
        Drama
    
        Romance","See more details at IMDbPro

"
111,112,Harriet,"$43,347,017","$43,082,155",99.4%,"$264,862",0.6%,2019,"Focus FeaturesSee full company information

","$11,676,720","$17,000,000","November 1, 2019
            (Domestic)",PG-13,2 hr 5 min,"Action
    
        Biography
    
        Drama
    
        History","See more details at IMDbPro

"
112,113,The Intruder,"$41,091,336","$35,419,122",86.2%,"$5,672,214",13.8%,2019,"Screen GemsSee full company information

","$10,855,054","$8,000,000","May 1, 2019
            (LATAM)",PG-13,1 hr 42 min,"Drama
    
        Horror
    
        Mystery
    
        Thriller","See more details at IMDbPro

"
113,114,Fighting with My Family,"$40,811,919","$22,958,886",56.3%,"$17,853,033",43.7%,2019,"Metro-Goldwyn-Mayer (MGM)See full company information

","$138,780","$11,000,000","February 14, 2019
            (Domestic)",PG-13,1 hr 48 min,"Biography
    
        Comedy
    
        Drama
    
        Sport","See more details at IMDbPro

"
114,115,Overcomer,"$38,026,103","$34,746,945",91.4%,"$3,279,158",8.6%,2019,"Affirm FilmsSee full company information

","$8,146,533","$5,000,000","August 22, 2019
            (APAC)",PG,1 hr 59 min,"Drama
    
        Family
    
        Sport","See more details at IMDbPro

"
115,116,Pain and Glory,"$37,137,074","$4,567,338",12.3%,"$32,569,736",87.7%,2019,"Sony Pictures ClassicsSee full company information

","$152,636",,"March 22, 2019
            (Spain)",R,1 hr 53 min,Drama,"See more details at IMDbPro

"
116,117,The Bad Guys: The Movie,"$34,024,386","$166,972",0.5%,"$33,857,414",99.5%,2019,"CJ EntertainmentSee full company information

","$45,233",,"September 11, 2019
            (South Korea)",,1 hr 54 min,"Action
    
        Crime
    
        Thriller","See more details at IMDbPro

"
117,118,The Good Liar,"$33,856,058","$17,156,058",50.7%,"$16,700,000",49.3%,2019,"Warner Bros.See full company information

","$5,605,051","$10,000,000","November 8, 2019
            (United Kingdom)",R,1 hr 49 min,"Crime
    
        Drama
    
        Mystery
    
        Thriller","See more details at IMDbPro

"
118,119,The Art of Racing in the Rain,"$33,766,787","$26,395,642",78.2%,"$7,371,145",21.8%,2019,"Twentieth Century FoxSee full company information

","$8,137,584","$18,000,000","August 7, 2019
            (EMEA, APAC)",PG,1 hr 49 min,"Comedy
    
        Drama
    
        Romance
    
        Sport","See more details at IMDbPro

"
119,120,Bharat,"$33,185,983","$2,971,549",9%,"$30,214,434",91%,2019,"Viva PicturesSee full company information

","$1,252,301",,"May 30, 2019
            (Australia)",Not Rated,2 hr 30 min,"Action
    
        Comedy
    
        Drama","See more details at IMDbPro

"
120,121,Brightburn,"$32,893,421","$17,300,439",52.6%,"$15,592,982",47.4%,2019,"Screen GemsSee full company information

","$7,845,658","$6,000,000","May 9, 2019
            (APAC, EMEA)",R,1 hr 30 min,"Drama
    
        Horror
    
        Mystery
    
        Sci-Fi","See more details at IMDbPro

"
121,122,UglyDolls,"$32,450,241","$20,150,241",62.1%,"$12,300,000",37.9%,2019,"STX EntertainmentSee full company information

","$8,603,407","$45,000,000","May 1, 2019
            (APAC)",PG,1 hr 27 min,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Fantasy
    
        Musical","See more details at IMDbPro

"
122,123,Stuber,"$32,390,945","$22,370,452",69.1%,"$10,020,493",30.9%,2019,"Twentieth Century FoxSee full company information

","$8,225,384","$16,000,000","July 11, 2019
            (EMEA, APAC)",R,1 hr 33 min,"Action
    
        Comedy
    
        Crime
    
        Thriller","See more details at IMDbPro

"
123,124,The Kid Who Would Be King,"$32,140,970","$16,790,790",52.2%,"$15,350,180",47.8%,2019,"Twentieth Century FoxSee full company information

","$7,173,887",,"January 16, 2019
            (South Korea)",PG,2 hr,"Action
    
        Adventure
    
        Family
    
        Fantasy","See more details at IMDbPro

"
124,125,Anna,"$31,640,190","$7,743,794",24.5%,"$23,896,396",75.5%,2019,"LionsgateSee full company information

","$3,600,647",,"June 19, 2019
            (Philippines)",R,1 hr 58 min,"Action
    
        Thriller","See more details at IMDbPro

"
125,126,My Dear Liar,"$31,177,968","$90,545",0.3%,"$31,087,423",99.7%,2019,"CMC Pictures HoldingsSee full company information

","$36,787",,"November 7, 2019
            (Australia)",,1 hr 56 min,Drama,"See more details at IMDbPro

"
126,127,The Wild Goose Lake,"$31,037,956","$12,573",<0.1%,"$31,025,383",100%,2019,"Film MovementSee full company information

","$4,573",,"September 5, 2019
            (New Zealand)",,1 hr 53 min,"Crime
    
        Drama","See more details at IMDbPro

"
127,128,My Hero Academia: Heroes Rising,"$29,127,005","$13,304,000",45.7%,"$15,823,005",54.3%,2019,"FUNimation EntertainmentSee full company information

","$5,891,252",,"December 20, 2019
            (Japan)",PG-13,1 hr 44 min,"Action
    
        Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Sci-Fi","See more details at IMDbPro

"
128,129,Gully Boy,"$28,141,995","$5,566,534",19.8%,"$22,575,461",80.2%,2019,"Viva PicturesSee full company information

","$2,045,068",,"February 14, 2019
            (6 markets)",,2 hr 33 min,"Drama
    
        Music","See more details at IMDbPro

"
129,130,Total Dhamaal,"$26,911,995","$2,167,632",8.1%,"$24,744,363",91.9%,2019,"FIPSee full company information

","$989,387",,"February 21, 2019
            (APAC, EMEA)",,2 hr 10 min,"Action
    
        Adventure
    
        Comedy","See more details at IMDbPro

"
130,131,No Manches Frida 2,"$26,493,648","$9,270,920",35%,"$17,222,728",65%,2019,"Pantelion FilmsSee full company information

","$3,831,401",,"March 15, 2019
            (Domestic)",R,1 hr 42 min,Comedy,"See more details at IMDbPro

"
131,132,Missing Link,"$26,249,469","$16,649,539",63.4%,"$9,599,930",36.6%,2019,"United Artists ReleasingSee full company information

","$5,944,950",,"April 4, 2019
            (Russia/CIS)",PG,1 hr 33 min,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Fantasy","See more details at IMDbPro

"
132,133,"The Gangster, the Cop, the Devil","$25,775,371","$216,494",0.8%,"$25,558,877",99.2%,2019,"Well Go USA EntertainmentSee full company information

","$78,655",,"May 15, 2019
            (South Korea)",Not Rated,1 hr 49 min,"Action
    
        Crime
    
        Drama","See more details at IMDbPro

"
133,134,Booksmart,"$24,863,452","$22,680,962",91.2%,"$2,182,490",8.8%,2019,"United Artists ReleasingSee full company information

","$6,933,620","$6,000,000","May 24, 2019
            (Domestic, EMEA)",R,1 hr 42 min,Comedy,"See more details at IMDbPro

"
134,135,Super 30,"$24,701,637","$2,269,878",9.2%,"$22,431,759",90.8%,2019,"Reliance Big PicturesSee full company information

","$871,256",,"July 11, 2019
            (APAC, EMEA)",,2 hr 34 min,"Biography
    
        Drama","See more details at IMDbPro

"
135,136,Only Cloud Knows,"$23,410,836",-,-,"$23,410,836",100%,2019,"China Lion Film DistributionSee full company information

",,,"December 19, 2019
            (APAC)",,2 hr 12 min,"Drama
    
        Romance","See more details at IMDbPro

"
136,137,The Peanut Butter Falcon,"$23,128,071","$20,457,151",88.5%,"$2,670,920",11.5%,2019,"Roadside AttractionsSee full company information

","$204,793","$6,200,000","August 9, 2019
            (Domestic)",PG-13,1 hr 37 min,"Comedy
    
        Drama","See more details at IMDbPro

"
137,138,Black and Blue,"$22,741,061","$22,055,313",97%,"$685,748",3%,2019,"Screen GemsSee full company information

","$8,376,846","$12,000,000","October 23, 2019
            (LATAM)",R,1 hr 48 min,"Action
    
        Crime
    
        Drama
    
        Thriller","See more details at IMDbPro

"
138,139,The Farewell,"$22,516,645","$17,695,781",78.6%,"$4,820,864",21.4%,2019,"A24See full company information

","$355,662",,"July 12, 2019
            (Domestic)",PG,1 hr 40 min,"Comedy
    
        Drama","See more details at IMDbPro

"
139,140,Late Night,"$22,386,555","$15,499,454",69.2%,"$6,887,101",30.8%,2019,"Amazon StudiosSee full company information

","$246,305",,"June 7, 2019
            (Domestic, EMEA)",R,1 hr 42 min,"Comedy
    
        Drama","See more details at IMDbPro

"
140,141,Dark Waters,"$21,620,897","$11,136,084",51.5%,"$10,484,813",48.5%,2019,"Focus FeaturesSee full company information

","$102,606",,"November 22, 2019
            (Domestic)",PG-13,2 hr 6 min,"Biography
    
        Drama
    
        History
    
        Thriller","See more details at IMDbPro

"
141,142,The Star 2019 Re-release,"$21,502,695","$43,510",0.2%,"$21,459,185",99.8%,2019,"Sony Pictures Entertainment (SPE)See full company information

","$9,812,674","$20,000,000","November 15, 2017
            (France)",PG,1 hr 26 min,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Fantasy","See more details at IMDbPro

"
142,143,Shaft,"$21,360,215","$21,360,215",100%,-,-,2019,"Warner Bros.See full company information

","$8,901,419","$35,000,000","June 14, 2019
            (Domestic)",R,1 hr 51 min,"Action
    
        Comedy
    
        Crime","See more details at IMDbPro

"
143,144,Hotel Mumbai,"$21,314,816","$9,651,611",45.3%,"$11,663,205",54.7%,2019,"Bleecker Street MediaSee full company information

","$88,065",,"March 14, 2019
            (APAC)",R,2 hr 3 min,"Action
    
        Drama
    
        History
    
        Thriller","See more details at IMDbPro

"
144,145,Unplanned,"$21,051,915","$19,005,109",90.3%,"$2,046,806",9.7%,2019,"Pure Flix EntertainmentSee full company information

","$6,382,298","$6,000,000","March 29, 2019
            (Domestic)",R,1 hr 49 min,"Biography
    
        Drama","See more details at IMDbPro

"
145,146,Always Miss You,"$19,015,465","$91,884",0.5%,"$18,923,581",99.5%,2019,"China Lion Film DistributionSee full company information

","$46,720",,"May 1, 2019
            (China)",Not Rated,1 hr 38 min,Romance,"See more details at IMDbPro

"
146,147,Greta,"$18,653,107","$10,532,219",56.5%,"$8,120,888",43.5%,2019,"Focus FeaturesSee full company information

","$4,481,910",,"February 28, 2019
            (APAC)",R,1 hr 38 min,"Drama
    
        Mystery
    
        Thriller","See more details at IMDbPro

"
