,Year_Rank,Title,Worldwide_Gross,Domestic,Percent_Domestic,Foreign,Percent_Foreign,Year,Domestic Distributor,Domestic Opening,Earliest Release Date,MPAA,Running Time,Genres,"
682,689,Hal,"$49,045","$48,698",99.3%,$347,0.7%,2018,"OscilloscopeSee full company information

","$5,150","September 7, 2018
            (Domestic)",,1 hr 30 min,"Biography
    
        Documentary","See more details at IMDbPro

",
683,690,The China Hustle,"$48,650","$48,650",100%,-,-,2018,"Magnolia PicturesSee full company information

","$25,791","March 30, 2018
            (Domestic)",R,1 hr 22 min,Documentary,"See more details at IMDbPro

",
684,691,350 Days - Legends. Champions. Survivors,"$47,526","$47,526",100%,-,-,2018,"Fathom EventsSee full company information

",,"July 12, 2018
            (Domestic)",,1 hr 48 min,"Documentary
    
        Sport","See more details at IMDbPro

",
685,692,Mercury,"$45,429",-,-,"$45,429",100%,2018,"Prime Media PicturesSee full company information

",,"April 12, 2018
            (EMEA, APAC)",,1 hr 46 min,"Horror
    
        Thriller","See more details at IMDbPro

",
686,693,That Summer,"$44,659","$34,556",77.4%,"$10,103",22.6%,2018,"IFC FilmsSee full company information

","$5,977","May 18, 2018
            (Domestic)",,1 hr 20 min,Documentary,"See more details at IMDbPro

",
687,694,Submission,"$44,069","$39,985",90.7%,"$4,084",9.3%,2018,"Great Point MediaSee full company information

",,"March 2, 2018
            (Domestic)",R,1 hr 46 min,"Drama
    
        Mystery","See more details at IMDbPro

",
688,695,Liyana,"$44,045","$44,045",100%,-,-,2018,"AbramoramaSee full company information

","$2,160","October 10, 2018
            (Domestic)",,1 hr 17 min,"Animation
    
        Documentary","See more details at IMDbPro

",
689,696,Garry Winogrand: All Things are Photographable,"$44,002","$44,002",100%,-,-,2018,"Greenwich EntertainmentSee full company information

","$9,058","September 19, 2018
            (Domestic)",,1 hr 30 min,Documentary,"See more details at IMDbPro

",
690,697,Hitler's Hollywood,"$43,766","$43,766",100%,-,-,2018,"Kino LorberSee full company information

","$8,634","April 11, 2018
            (Domestic)",,1 hr 45 min,"Documentary
    
        History","See more details at IMDbPro

",
691,698,First We Take Brooklyn,"$42,812","$42,812",100%,-,-,2018,Zealous Productions,"$15,845","February 9, 2018
            (Domestic)",,1 hr 31 min,"Crime
    
        Drama
    
        Thriller","See more details at IMDbPro

",
692,699,Golden Exits,"$41,888","$41,888",100%,-,-,2018,"Vertical EntertainmentSee full company information

","$11,719","February 9, 2018
            (Domestic)",R,1 hr 34 min,Drama,"See more details at IMDbPro

",
693,700,Jonathan,"$41,558",-,-,"$41,558",100%,2018,"Well Go USA EntertainmentSee full company information

",,"November 16, 2018
            (Domestic)",,1 hr 35 min,"Drama
    
        Sci-Fi","See more details at IMDbPro

",
694,701,Blue Iguana,"$41,050",-,-,"$41,050",100%,2018,"Screen Media FilmsSee full company information

",,"August 23, 2018
            (Russia/CIS)",,1 hr 40 min,"Action
    
        Comedy
    
        Crime
    
        Romance
    
        Thriller","See more details at IMDbPro

",
695,702,On Her Shoulders,"$40,145","$28,288",70.5%,"$11,857",29.5%,2018,"OscilloscopeSee full company information

","$4,374","October 19, 2018
            (Domestic)",,1 hr 35 min,"Biography
    
        Documentary","See more details at IMDbPro

",
696,703,Humor Me,"$40,099","$40,099",100%,-,-,2018,"Shout! FactorySee full company information

","$3,342","January 12, 2018
            (Domestic)",,1 hr 33 min,Comedy,"See more details at IMDbPro

",
697,704,An Elephant Sitting Still,"$39,599","$32,556",82.2%,"$7,043",17.8%,2018,KimStim,"$10,854","December 14, 2018
            (United Kingdom)",,3 hr 50 min,Drama,"See more details at IMDbPro

",
698,705,I Do Not Care If We Go Down in History as Barbarians,"$39,171","$11,307",28.9%,"$27,864",71.1%,2018,"Big World PicturesSee full company information

","$2,083","September 28, 2018
            (Romania)",,2 hr 20 min,"Comedy
    
        Drama","See more details at IMDbPro

",
699,706,Divide and Conquer,"$38,510","$38,510",100%,-,-,2018,"Magnolia PicturesSee full company information

","$18,833","December 7, 2018
            (Domestic)",,1 hr 47 min,Documentary,"See more details at IMDbPro

",
700,707,Araby,"$38,399","$38,399",100%,-,-,2018,"Grasshopper FilmSee full company information

","$8,668","June 22, 2018
            (Domestic)",,1 hr 37 min,Drama,"See more details at IMDbPro

",
701,708,No Intenso Agora,"$38,223","$24,955",65.3%,"$13,268",34.7%,2018,"Icarus FilmsSee full company information

","$5,565","January 31, 2018
            (Domestic)",,2 hr 7 min,"Documentary
    
        History","See more details at IMDbPro

",
702,709,Gray Matter,"$38,034","$38,034",100%,-,-,2018,"Indican PicturesSee full company information

","$14,064","May 18, 2018
            (Domestic)",,1 hr 25 min,Sci-Fi,"See more details at IMDbPro

",
703,710,The Heart of Nuba,"$37,788","$37,788",100%,-,-,2018,"AbramoramaSee full company information

","$4,016","April 6, 2018
            (Domestic)",,1 hr 25 min,Documentary,"See more details at IMDbPro

",
704,711,Krystal,"$37,516","$37,516",100%,-,-,2018,"PaladinSee full company information

",,"April 13, 2018
            (Domestic)",R,1 hr 30 min,"Comedy
    
        Drama","See more details at IMDbPro

",
705,712,Small Group,"$37,058","$37,058",100%,-,-,2018,"GathrFilmsSee full company information

","$26,579","October 18, 2018
            (Domestic)",PG-13,,Drama,"See more details at IMDbPro

",
706,713,24 Frames,"$37,045","$34,482",93.1%,"$2,563",6.9%,2018,"Janus FilmsSee full company information

","$8,101","February 2, 2018
            (Domestic)",,1 hr 54 min,Drama,"See more details at IMDbPro

",
707,714,Mind Game,"$36,613","$36,613",100%,-,-,2018,"GKIDSSee full company information

","$5,609","February 16, 2018
            (Domestic)",,1 hr 43 min,"Adventure
    
        Animation
    
        Comedy
    
        Drama
    
        Fantasy","See more details at IMDbPro

",
708,715,For Those Who Don't Read Me,"$36,506","$36,506",100%,-,-,2018,"Entertainment OneSee full company information

","$9,263","November 23, 2018
            (Domestic)",,1 hr 47 min,Drama,"See more details at IMDbPro

",
709,716,Le Corbeau,"$36,089","$36,089",100%,-,-,2018,"Rialto PicturesSee full company information

","$6,452","April 20, 2018
            (Domestic)",,1 hr 32 min,"Crime
    
        Drama
    
        Mystery
    
        Thriller","See more details at IMDbPro

",
710,717,The House of Tomorrow,"$35,821","$35,821",100%,-,-,2018,"Shout! FactorySee full company information

","$6,652","April 27, 2018
            (Domestic)",,1 hr 25 min,"Comedy
    
        Drama","See more details at IMDbPro

",
711,718,The Road Movie,"$35,757","$35,757",100%,-,-,2018,"OscilloscopeSee full company information

","$17,175","January 19, 2018
            (Domestic)",,1 hr 7 min,Documentary,"See more details at IMDbPro

",
712,719,Good Manners,"$35,714","$31,177",87.3%,"$4,537",12.7%,2018,"Distrib FilmsSee full company information

","$2,476","May 3, 2018
            (South Korea)",,2 hr 15 min,"Fantasy
    
        Horror
    
        Musical","See more details at IMDbPro

",
713,720,PGS: Intuition Is Your Personal Guidance System,"$35,423","$35,423",100%,-,-,2018,"GathrFilmsSee full company information

",,"January 16, 2018
            (Domestic)",,1 hr 23 min,Documentary,"See more details at IMDbPro

",
714,721,Holy Hell,"$34,366","$34,366",100%,-,-,2018,"Indican PicturesSee full company information

","$21,504","July 20, 2018
            (Domestic)",,1 hr 29 min,"Action
    
        Comedy
    
        Horror","See more details at IMDbPro

",
715,722,Maui,"$33,953","$33,953",100%,-,-,2018,"GathrFilmsSee full company information

",,"April 13, 2018
            (Domestic)",PG-13,1 hr 35 min,"Drama
    
        Mystery","See more details at IMDbPro

",
716,723,"Distant Voices, Still Lives 2018 Re-release","$33,301","$5,234",15.7%,"$28,067",84.3%,2018,"Avenue Pictures ProductionsSee full company information

","$10,021","July 28, 1989
            (Domestic)",,1 hr 24 min,"Drama
    
        Music","See more details at IMDbPro

",
717,724,The Nun,"$32,659","$30,245",92.6%,"$2,414",7.4%,2018,"Rialto PicturesSee full company information

","$6,273","July 27, 2018
            (United Kingdom)",,2 hr 20 min,Drama,"See more details at IMDbPro

",
718,725,Sollers Point,"$32,608","$32,608",100%,-,-,2018,"OscilloscopeSee full company information

","$10,618","May 11, 2018
            (Domestic)",R,1 hr 41 min,Drama,"See more details at IMDbPro

",
719,726,Goodland,"$32,140","$32,140",100%,-,-,2018,"Parade Deck FilmsSee full company information

","$17,621","May 11, 2018
            (Domestic)",,1 hr 24 min,"Crime
    
        Mystery
    
        Thriller","See more details at IMDbPro

",
720,727,Moynihan,"$31,970","$31,970",100%,-,-,2018,"First RunSee full company information

","$4,416","October 3, 2018
            (Domestic)",,1 hr 42 min,"Biography
    
        Documentary","See more details at IMDbPro

",
721,728,Poor Boy,"$31,031","$31,031",100%,-,-,2018,"Indican PicturesSee full company information

","$10,920","July 13, 2018
            (Domestic)",,1 hr 44 min,"Drama
    
        Western","See more details at IMDbPro

",
722,729,Heavy Trip,"$30,351","$10,153",33.5%,"$20,198",66.5%,2018,"Music Box FilmsSee full company information

","$5,419","October 5, 2018
            (Domestic)",,1 hr 32 min,"Comedy
    
        Music","See more details at IMDbPro

",
723,730,Cold Water,"$30,209","$30,209",100%,-,-,2018,"Janus FilmsSee full company information

","$5,110","April 27, 2018
            (Domestic)",,1 hr 35 min,Drama,"See more details at IMDbPro

",
724,731,Memories of Underdevelopment 2018 Re-release,"$29,647","$29,647",100%,-,-,2018,,,"July 11, 2008
            (United Kingdom)",,1 hr 37 min,Drama,"See more details at IMDbPro

",
725,732,Charm City,"$29,335","$29,335",100%,-,-,2018,"PBS DistributionSee full company information

","$10,511","October 12, 2018
            (Domestic)",,1 hr 48 min,Documentary,"See more details at IMDbPro

",
726,733,Restoring Tomorrow,"$28,556","$28,556",100%,-,-,2018,"Fathom EventsSee full company information

",,"November 13, 2018
            (Domestic)",PG,1 hr 22 min,Documentary,"See more details at IMDbPro

",
727,734,Quai des Orfèvres 2018 Re-release,"$28,013","$28,013",100%,-,-,2018,"Rialto PicturesSee full company information

","$9,632","October 25, 2002
            (Domestic)",,1 hr 46 min,"Crime
    
        Drama","See more details at IMDbPro

",
728,735,The Amendment,"$27,961","$27,961",100%,-,-,2018,"Fathom EventsSee full company information

",,"April 12, 2018
            (Domestic)",,1 hr 30 min,Action,"See more details at IMDbPro

",
